# Pressure [MeV/fm^3],Energy Density [MeV/fm^3],Number Density [/fm^3]
3.377935267754968210e-07,7.240893586555990609e-04,7.772623807318666063e-07
3.462122817012976369e-07,7.378706223836599713e-04,7.920487702742341034e-07
3.548340915281218385e-07,7.519142122351563269e-04,8.071164513355509712e-07
3.636633918968929404e-07,7.662251218972838691e-04,8.224707751152036122e-07
3.727050515605944634e-07,7.808084409758540541e-04,8.381171946120728656e-07
3.819643820896184955e-07,7.956693567451675201e-04,8.540612665611376215e-07
3.914468007182226488e-07,8.108131549182115774e-04,8.703086534069149454e-07
4.011574500383973680e-07,8.262452211510056856e-04,8.868651253144457857e-07
4.111011233427592598e-07,8.419710429500965564e-04,9.037365622185348054e-07
4.212824468513591713e-07,8.579962117820283049e-04,9.209289559119753301e-07
4.317059049705987592e-07,8.743264251794878941e-04,9.384484121734993989e-07
4.423758825382304755e-07,8.909674889604951359e-04,9.563011529362100617e-07
4.532967347411944604e-07,9.079253195852349766e-04,9.744935184972648160e-07
4.644728915475692475e-07,9.252059466765135635e-04,9.930319697695945362e-07
4.759089869406199291e-07,9.428155156799175552e-04,1.011923090576459823e-06
4.876096364487959733e-07,9.607602895140542878e-04,1.031173589989657822e-06
4.995789511234651475e-07,9.790466495179402096e-04,1.050790304712209382e-06
5.118204142977680330e-07,9.976810976102135770e-04,1.070780201506374982e-06
5.243367697207687910e-07,1.016670258592110515e-03,1.091150379667859563e-06
5.371298937252418138e-07,1.036020882542825622e-03,1.111908073547086146e-06
5.502006494997672946e-07,1.055739847332169256e-03,1.133060655118433314e-06
5.635487191271887724e-07,1.075834161276616966e-03,1.154615636598349894e-06
5.771724086316840577e-07,1.096310965973738361e-03,1.176580673113272840e-06
5.910684225816089839e-07,1.117177539363733811e-03,1.198963565418303779e-06
6.052314971080069227e-07,1.138441298883323058e-03,1.221772262667600308e-06
6.196530632179248090e-07,1.160109802921232202e-03,1.245014865237471585e-06
6.343200696624770317e-07,1.182190752451211645e-03,1.268699627603180257e-06
6.492141660711165677e-07,1.204691994346958860e-03,1.292834961270471609e-06
6.643110225647171826e-07,1.227621525492310177e-03,1.317429437762871153e-06
6.795806240371658353e-07,1.250987498249306242e-03,1.342491791665811133e-06
6.949901750365338589e-07,1.274798227761358115e-03,1.368030923728667625e-06
7.105120209039278290e-07,1.299062200082208096e-03,1.394055904025809354e-06
7.261356857599672580e-07,1.323788074576575388e-03,1.420575975177784582e-06
7.417479694568592630e-07,1.348984658511379877e-03,1.447600555633779823e-06
7.566276129431781610e-07,1.374660937905020563e-03,1.475139243016531985e-06
7.709030729768175863e-07,1.400826419652416747e-03,1.503201817530863911e-06
7.875581447671311481e-07,1.427490307780509855e-03,1.531798245437071309e-06
8.057649855760798272e-07,1.454661770897601718e-03,1.560938682590378877e-06
8.249032724997824125e-07,1.482350460921348298e-03,1.590633478047735773e-06
8.447747592357417283e-07,1.510566236929845180e-03,1.620893177743220948e-06
8.653012132635068202e-07,1.539319142811938854e-03,1.651728528233372547e-06
8.864483751718113506e-07,1.568619411211573953e-03,1.683150480513763362e-06
9.082019926063687244e-07,1.598477468865374534e-03,1.715170193908183522e-06
9.305586633799456381e-07,1.628903942002862988e-03,1.747799040031810248e-06
9.535216136043990947e-07,1.659909660545095828e-03,1.781048606829770736e-06
9.770976768020207378e-07,1.691505659341143147e-03,1.814930702692532621e-06
1.001295790480389893e-06,1.723703181597674439e-03,1.849457360649585912e-06
1.026126311334418616e-06,1.756513683043895444e-03,1.884640842642903993e-06
1.051600630154395659e-06,1.789948836217573024e-03,1.920493643881699882e-06
1.077731098464398534e-06,1.824020534963871577e-03,1.957028497280029512e-06
1.104531722488829336e-06,1.858740899182730229e-03,1.994258377978808199e-06
1.132017534806263554e-06,1.894122279978241365e-03,2.032196507953860671e-06
1.160204387271061613e-06,1.930177265193459141e-03,2.070856360711626294e-06
1.189109407704649996e-06,1.966918685335771865e-03,2.110251666074197699e-06
1.218750786646907514e-06,2.004359617315570451e-03,2.150396415055387489e-06
1.249146771451526131e-06,2.042513385622062635e-03,2.191304864829553949e-06
1.280315572214208277e-06,2.081393566706347172e-03,2.232991543794956910e-06
1.312275400377076448e-06,2.121013993902304360e-03,2.275471256733430566e-06
1.345044545141325702e-06,2.161388762580130751e-03,2.318759090068217254e-06
1.378641511212910563e-06,2.202532235608597837e-03,2.362870417221822694e-06
1.413085237924765786e-06,2.244459049190371692e-03,2.407820904075798511e-06
1.448395423585960233e-06,2.287184119147614783e-03,2.453626514534387940e-06
1.484592983571269727e-06,2.330722647750283014e-03,2.500303516194014231e-06
1.521700576274024845e-06,2.375090130853700545e-03,2.547868486120622598e-06
1.559741893363359877e-06,2.420302360930225855e-03,2.596338316736928934e-06
1.598740566112847258e-06,2.466375429025838110e-03,2.645730221821667880e-06
1.638720147599205086e-06,2.513325730439797037e-03,2.696061742622961216e-06
1.679704160095901324e-06,2.561169970693530189e-03,2.747350754087995741e-06
1.721716207724128460e-06,2.609925171823041391e-03,2.799615471211203173e-06
1.764780177335501926e-06,2.659608679070385364e-03,2.852874455503210855e-06
1.808920553770500842e-06,2.710238168058753776e-03,2.907146621582854919e-06
1.854162881241440703e-06,2.761831652552785427e-03,2.962451243894596670e-06
1.900534409211852090e-06,2.814407492925819192e-03,3.018807963553728718e-06
1.948064654872313423e-06,2.867984404423549842e-03,3.076236795321806495e-06
1.996784009605394354e-06,2.922581459144016694e-03,3.134758134714769601e-06
2.046722677665390354e-06,2.978218089506537089e-03,3.194392765246292382e-06
2.097910703461828441e-06,3.034914095263875448e-03,3.255161865808931951e-06
2.150378057193941437e-06,3.092689650774332888e-03,3.317087018195683346e-06
2.204154815967900840e-06,3.151565312704274636e-03,3.380190214764630747e-06
2.259271469385995312e-06,3.211562028254380009e-03,3.444493866249404824e-06
2.315759384764054603e-06,3.272701144022245340e-03,3.510020809718225762e-06
2.373651474395665371e-06,3.335004415636692084e-03,3.576794316684353839e-06
2.432983113417748902e-06,3.398494018318061645e-03,3.644838101370834266e-06
2.493792489803872299e-06,3.463192555758966545e-03,3.714176329132462772e-06
2.556118312646753608e-06,3.529123060923590287e-03,3.784833625037972128e-06
2.619999009078944755e-06,3.596309001815633372e-03,3.856835082615483851e-06
2.685472802174155240e-06,3.664774290027529753e-03,3.930206272764327766e-06
2.752577849424347546e-06,3.734543289610941889e-03,4.004973252836396483e-06
2.821352510971567643e-06,3.805640826505526670e-03,4.081162575890267489e-06
2.891835786006938893e-06,3.878092198648402933e-03,4.158801300121361135e-06
2.964067963848323046e-06,3.951923186911976763e-03,4.237916998471505703e-06
3.038091545767241499e-06,4.027160067047421549e-03,4.318537768421308285e-06
3.113952470552901942e-06,4.103829622744135583e-03,4.400692241968807675e-06
3.191699801549966097e-06,4.181959154248689192e-03,4.484409595797966842e-06
3.271382709836991360e-06,4.261576478719440383e-03,4.569719561640599764e-06
3.353050035910556441e-06,4.342709938541154668e-03,4.656652436835421469e-06
3.436750395464414629e-06,4.425388411656385780e-03,4.745239095087977870e-06
3.522532385199839425e-06,4.509641322419439234e-03,4.835510997435256869e-06
3.610444960100313498e-06,4.595498653192418501e-03,4.927500203418898278e-06
3.700538032437354745e-06,4.682990956847899247e-03,5.021239382470945465e-06
3.792863353405101637e-06,4.772149370376421208e-03,5.116761825516216378e-06
3.887475750807080906e-06,4.863005629836521584e-03,5.214101456795370678e-06
3.984434636896223737e-06,4.955592086371921751e-03,5.313292845912911574e-06
4.083802491976857274e-06,5.049941712809082224e-03,5.414371220114381200e-06
4.185641488415133325e-06,5.146088104761649927e-03,5.517372476797112637e-06
4.290013342547523704e-06,5.244065492159644647e-03,5.622333196258976168e-06
