ε_c [MeV/fm^3],p_c [MeV/fm^3],R [KM],M [M_sun],Λ,g-cowl [kHz],f-cowl [kHz],p1-cowl [kHz],f-GR [kHz],τ_f [s],p1-GR [kHz],τ_p1 [s]
      843.6996553618,      298.8017461229,       11.4314863833,        2.0664903765,    0.1543931963E+02,        0.6975983792,        2.5680092344,        7.2989201483,        2.2093432014,        0.1367578662,        6.9107997668,        7.0393626872
      869.1209927635,      313.8497381708,       11.3958783648,        2.0821710770,    0.1412597778E+02,        0.6955972481,        2.5750184798,        7.3286948552,        2.2197405942,        0.1370430794,        6.9410529579,        8.1915919631
      895.3082951519,      328.7603693702,       11.3612973245,        2.0957532039,    0.1302939640E+02,        0.6939281943,        2.5816828930,        7.3563505262,        2.2296043361,        0.1373935425,        6.9678694890,        9.5653784486
      922.2846416575,      343.6120625993,       11.3274442753,        2.1075345442,    0.1209350963E+02,        0.6925638196,        2.5880889757,        7.3820333164,        2.2390665561,        0.1377877131,        6.9916504045,       11.2164930824
      950.0738068029,      358.4348680669,       11.2941308983,        2.1177234628,    0.1130326214E+02,        0.6914461811,        2.5943816834,        7.4056524550,        2.2482064118,        0.1382082750,        7.0126502227,       13.1984043977
      978.7002814563,      373.2587463180,       11.2615346794,        2.1264980180,    0.1061473568E+02,        0.6905805804,        2.6005192647,        7.4278478926,        2.2570881371,        0.1386422304,        7.0310851307,       15.5679347783
     1008.1892944149,      388.1167227446,       11.2294299359,        2.1340129574,    0.1001732128E+02,        0.6899424106,        2.6065717921,        7.4496476162,        2.2657672547,        0.1390797835,        7.0471286815,       18.4047630167
     1038.5668346394,      403.0445677101,       11.1976807959,        2.1404013728,    0.9493909970E+01,        0.6894580254,        2.6126247389,        7.4676461290,        2.2742914472,        0.1395135372,        7.0609218279,       21.7877915053
     1069.8596741585,      418.0802155525,       11.1662293358,        2.1457778392,    0.9026820660E+01,        0.6891978947,        2.6186087669,        7.4858922006,        2.2827021158,        0.1399379823,        7.0725736919,       25.8043957707
     1102.0953916635,      433.2373563080,       11.1351635442,        2.1502337303,    0.8620148944E+01,        0.6890839391,        2.6246566044,        7.5030236050,        2.2910224290,        0.1403483471,        7.0821588319,       30.4799327697
     1135.3023968132,      448.5864440355,       11.1041700031,        2.1538632534,    0.8250450608E+01,        0.6891491519,        2.6306820639,        7.5193056283,        2.2993015757,        0.1407423609,        7.0897560372,       35.9082134950
     1169.5099552719,      464.1693850866,       11.0732026820,        2.1567369328,    0.7920604311E+01,        0.6893487825,        2.6368047043,        7.5345664330,        2.3075687244,        0.1411177640,        7.0954056959,       42.0610817758
     1204.7482145016,      480.0257920207,       11.0424045846,        2.1589144889,    0.7615793403E+01,        0.6897243448,        2.6429332408,        7.5496636742,        2.3158490163,        0.1414728546,        7.0991180898,       48.8311479175
     1241.0482303311,      496.1964324630,       11.0116270675,        2.1604469860,    0.7346701309E+01,        0.6901608277,        2.6492544318,        7.5619202737,        2.3241652706,        0.1418061721,        7.1008938513,       55.8670404832
     1278.4419943259,      512.7136315961,       10.9807083587,        2.1613778687,    0.7095108414E+01,        0.6907895440,        2.6556007697,        7.5758375545,        2.3325331780,        0.1421164790,        7.1007209376,       62.8570690722
     1316.9624619826,      529.6184470951,       10.9497605788,        2.1617454179,    0.6871208993E+01,        0.6914782450,        2.6621285924,        7.5862220712,        2.3409715239,        0.1424032091,        7.0985882476,       69.0489384917
